Tansometr 1,Tensometr 2,Tensometr 3
1189,226,769
1167,224,755
1106,209,731
1189,226,769
1167,224,755
1106,209,731
1459,357,1098
1331,347,1053
1346,352,1065
1204,310,986
1214,315,989
1111,272,908
1122,280,914
1084,254,867
1091,264,879
1086,243,836
1138,248,850
1236,240,833
1303,266,850
1351,253,846
1402,265,854
1260,245,812
1227,238,782
1078,222,716
1005,205,706
1032,207,708
978,213,703
967,211,718
869,204,715
864,207,719
858,209,706
850,202,735
802,200,738
787,216,744
783,208,742
803,209,754
774,204,729
808,212,746
793,216,728
816,228,721
810,231,713
794,236,685
772,224,669
767,220,679
729,217,673
723,221,663
701,217,653
697,226,649
687,224,637
677,222,643
675,236,656
687,237,662
680,248,673
670,265,679
695,275,698
708,290,720
733,309,750
758,328,795
778,324,786
856,333,770
879,331,772
908,335,783
883,362,785
981,353,780
1020,353,806
1079,359,794
1104,374,804
1174,377,800
1162,377,829
1089,373,836
1194,372,859
1172,347,849
1222,358,901
1238,341,888
1217,387,918
1322,341,921
1326,334,1050
1274,318,998
1257,336,1049
1144,291,974
1112,291,963
1041,258,897
1039,266,892
1007,241,829
970,254,840
996,237,806
1005,255,805
1051,252,791
1106,293,822
1143,292,834
1146,308,871
1111,285,834
1069,273,779
1077,256,765
1026,256,745
1009,231,710
957,225,708
927,229,699
930,219,682
892,220,681
876,215,704
825,214,690
814,200,707
833,208,710
807,206,713
802,209,731
802,207,729
809,208,729
769,217,723
794,222,734
786,233,729
816,245,717
813,252,707
833,249,683
763,249,678
811,245,677
787,256,676
756,235,664
719,238,666
699,237,654
707,233,650
697,238,663
698,246,670
697,248,671
708,261,675
691,274,688
732,290,718
704,292,738
765,320,761
766,334,785
812,330,800
829,338,794
920,336,780
899,334,790
951,350,781
970,360,798
1099,349,805
1100,352,822
1219,369,825
1208,387,842
1231,366,839
1180,369,865
1244,343,853
1206,348,888
1241,324,875
1281,351,920
1250,347,921
1353,343,959
1389,308,1050
1413,325,1042
1331,305,1029
1269,299,1022
1142,265,954
1142,264,947
1091,243,915
1075,239,906
1061,232,867
1053,243,859
1083,231,841
1122,240,863
1196,246,863
1219,270,881
1247,269,906
1200,261,858
1142,250,804
1119,237,772
1094,227,749
1031,213,735
1015,205,731
961,204,719
999,202,710
996,216,707
930,209,716
865,204,714
893,205,742
879,216,735
896,218,738
840,221,741
860,231,754
858,217,734
841,223,735
822,226,708
842,237,732
821,253,714
871,249,700
839,250,680
826,249,667
822,255,661
785,255,666
781,260,662
710,259,665
719,251,664
671,246,654
674,242,663
657,236,666
688,253,665
665,259,680
699,280,688
704,285,700
701,307,733
708,322,762
795,354,776
791,344,780
864,359,787
880,349,779
971,360,773
890,356,786
991,362,778
977,364,792
1016,368,803
1010,376,813
1050,371,812
1052,367,837
990,367,843
1037,365,843
1049,345,844
1092,344,885
1095,328,876
1116,341,912
1171,324,918
1162,319,1002
1142,319,967
1085,311,990
1036,291,934
983,284,896
945,273,853
903,264,821
919,254,809
914,250,790
944,250,787
979,254,767
1031,259,773
1044,287,765
1103,297,800
1091,308,805
1081,281,765
1058,271,723
1032,267,725
991,240,703
983,235,701
905,242,691
931,231,686
944,230,675
934,234,669
882,221,687
868,225,695
862,233,686
906,233,708
828,238,687
834,242,693
824,241,691
860,254,684
849,250,681
845,264,710
829,262,692
867,271,703
868,273,671
896,271,670
836,283,654
812,288,662
822,275,642
795,261,644
760,267,642
733,258,637
728,268,638
706,252,654
