Tansometr 1,Tensometr 2,Tensometr 3
855,315,760
881,309,758
931,304,750
907,313,759
909,309,758
874,307,752
924,313,754
904,321,756
947,308,752
985,313,763
1008,320,747
993,315,758
1043,312,761
1043,316,767
1092,333,762
1049,330,785
1073,316,777
1048,320,782
1049,333,786
1051,308,797
1076,303,802
1037,314,805
1075,310,791
1122,314,847
1213,308,814
1219,319,856
1243,313,875
1201,323,914
1259,320,941
1043,312,761
1043,316,767
1092,333,762
1049,330,785
1073,316,777
1048,320,782
1049,333,786
1051,308,797
1076,303,802
1037,314,805
1075,310,791
1122,314,847
1213,308,814
1219,319,856
1243,313,875
1201,323,914
1259,320,941
1260,210,950
1270,209,960
1300,209,970
1310,210,980
1320,444,1342
1330,428,1327
1341,430,1287
1345,431,1300
1346,444,1342
1348,428,1327
1350,430,1287
1380,431,1300
1370,339,1019
1362,333,984
1368,320,985
1346,311,984
1369,317,1000
1386,313,985
1416,310,976
1458,295,943
1454,291,953
1521,295,922
1511,294,928
1658,317,931
1635,315,939
1703,339,984
1775,356,1012
1804,379,1045
1978,402,1082
1918,400,1142
1886,422,1228
1863,402,1280
1856,43,2430
1989,424,1315
1911,422,1372
1998,400,1306
2104,398,1307
2095,383,1299
2077,396,1317
2074,394,1252
2054,399,1290
2029,395,1230
2028,416,1280
2014,395,1306
1984,408,1342
1978,396,1291
1982,392,1331
1973,394,1307
1999,396,1325
1980,400,1326
2006,388,1330
1986,398,1326
2007,413,1368
1979,422,1334
2010,405,1394
1987,431,1365
2003,419,1442
1970,419,1444
2043,433,1470
2012,418,1504
2079,435,1525
2069,455,1492
2083,445,1509
2085,447,1463
2095,429,1485
2107,426,1539
2130,409,1519
2127,403,1564
2161,432,1559
2073,428,1519
2042,427,1511
2036,420,1495
1986,440,1377
1999,439,1377
1977,434,1296
1959,421,1340
1862,412,1309
1795,424,1266
1855,416,1242
1913,433,1178
1943,425,1152
2102,446,1170
2111,450,1179
2141,471,1175
2225,469,1169
2261,439,1137
2223,451,1104
2278,451,1083
2175,436,1075
2219,461,1047
2090,440,1024
2009,460,1015
2003,432,1010
1817,450,1003
1809,435,1017
1836,450,1014
1765,447,1013
1801,449,1012
1733,431,991
1666,449,989
1675,444,1006
1659,464,998
1616,463,1005
1660,499,1010
1609,519,992
1652,505,1004
1623,522,1007
1597,530,1032
1674,589,1026
1752,582,1053
1741,600,1062
1785,641,1071
1783,592,1092
1821,665,1107
1690,647,1118
1792,611,1083
1761,581,1073
1762,568,1062
1743,559,1048
1736,539,1052
1676,539,1005
1643,495,991
1589,499,991
1538,488,962
1490,464,976
1483,433,958
1480,430,936
1533,423,940
1451,420,939
1440,405,916
1384,387,928
1359,383,880
1341,394,873
1307,358,875
1235,349,869
1219,325,852
1141,315,861
1132,316,852
1080,306,865
1095,298,838
1062,298,845
1092,295,870
1146,294,844
1127,292,871
1216,290,880
1205,299,884
1208,295,901
1194,296,909
1175,297,928
1243,295,970
1255,288,1024
1294,296,988
1267,282,955
1235,299,994
1176,280,980
1169,273,940
1144,260,905
1103,254,904
1072,245,881
1068,241,861
1037,235,836
1040,232,834
1015,227,812
1019,224,820
994,217,805
1009,219,805
1007,214,790
1029,224,788
1032,215,769
1050,227,775
1050,211,750
1106,219,762
1085,221,749
1146,233,762
1178,227,761
1163,239,777
1239,234,769
1246,233,784
1271,235,773
1234,237,768
1232,232,752
1228,230,724
1198,219,693
1171,215,695
1143,210,696
1169,209,679
1082,202,674
1105,197,675
1062,192,661
1030,197,667
1027,188,660
1004,190,651
1016,188,658
1019,190,655
985,189,659
975,189,668
958,185,654
943,184,661
926,180,656
929,186,661
887,181,672
859,184,665
874,174,673
894,179,655
861,171,668
845,177,662
834,174,673
831,179,661
836,173,661
817,179,675
788,173,671
778,169,674
789,174,662
772,171,676
766,173,666
754,174,670
759,182,660
751,177,665
755,178,663
742,182,666
766,179,659
748,186,654
771,186,674
731,186,645
742,181,663
724,185,648
744,187,656
760,188,632
742,192,638
727,189,634
733,187,630
716,187,630
707,190,617
703,188,615
682,190,607
678,193,607
673,189,612
688,193,615
681,193,621
705,190,607
696,190,612
709,191,615
699,191,621
688,195,628
663,197,621
664,192,626
633,194,624
633,193,629
621,195,622
620,194,628
604,199,617
605,199,627
595,196,621
596,199,633
594,199,645
598,207,637
601,207,645
594,214,644
605,220,651
628,223,649
637,225,659
653,239,664
669,248,675
679,248,689
695,257,695
720,267,708
746,281,725
792,281,742
793,294,752
806,289,769
823,291,762
865,292,754
879,299,756
908,296,769
936,300,755
963,301,758
947,296,756
911,304,761
954,324,742
941,317,766
966,312,758
984,311,762
978,309,770
998,308,780
1038,309,787
1039,320,786
1076,315,787
1083,323,790
1083,311,793
1071,313,826
1091,310,831
1148,324,816
1115,304,838
1111,297,849
1142,291,821
1163,294,837
1180,284,835
1185,293,861
1150,292,845
1196,291,879
1165,291,878
1200,303,952
1182,287,971
1259,301,968
1181,302,960
1161,301,993
1088,281,942
1136,282,926
1057,264,907
1063,267,896
1029,247,850
1039,250,845
1008,230,833
982,237,828
984,223,794
959,227,823
950,223,784
958,232,791
1016,227,777
1044,234,787
1041,240,776
1096,250,812
1119,255,787
1141,270,808
1203,270,791
1266,292,818
1286,286,823
1305,292,828
1302,280,806
1287,280,775
1245,268,760
1221,275,752
1223,264,737
1163,257,716
1153,259,711
1207,247,715
1201,246,701
1137,232,702
1094,224,698
1055,223,688
1056,209,699
1046,203,700
1034,206,685
1017,208,686
