Tansometr 1,Tensometr 2,Tensometr 3
689,290,686
687,306,694
731,310,713
761,320,741
689,290,686
687,306,694
731,310,713
761,320,741
1279,392,781
1213,375,804
1195,374,794
1109,369,803
1108,369,771
1108,367,752
1138,358,697
1015,341,705
1030,345,697
1029,343,694
981,306,699
877,296,681
780,281,674
748,271,676
704,269,680
682,276,678
705,281,678
808,345,761
835,358,782
884,353,796
928,367,801
1020,375,779
1023,382,801
1016,400,799
1044,411,808
1145,403,811
1132,422,826
1241,410,835
1243,448,856
1188,425,852
1235,408,883
1254,393,891
1379,408,904
1394,361,907
1352,391,928
1297,368,960
1375,378,1025
1385,357,1025
1339,382,1063
1199,332,992
1231,336,966
1120,297,900
1145,312,905
1096,269,857
1086,283,882
1060,265,812
1097,288,843
1151,288,811
1186,319,821
1207,312,796
1195,346,816
1201,305,793
1144,289,740
1174,272,718
1138,252,713
1055,241,687
1015,225,684
951,214,684
927,217,679
937,210,663
951,213,659
872,204,673
817,192,674
840,196,661
808,191,667
800,192,677
752,189,670
728,199,655
707,197,664
718,191,663
696,190,656
703,191,652
691,196,652
710,199,659
723,205,639
714,209,626
692,209,630
675,212,629
665,212,622
671,201,627
648,194,626
622,197,626
618,200,626
593,201,628
590,203,632
595,205,646
593,228,643
610,234,661
645,248,675
637,266,699
717,280,727
731,290,758
787,307,760
803,305,763
857,330,777
878,331,772
898,343,789
940,347,798
1054,350,801
1023,357,813
1164,355,810
1102,373,835
1160,360,827
1136,372,872
1147,339,862
1217,357,879
1201,326,876
1211,376,918
1271,350,919
1281,369,1052
1223,369,1020
1224,368,1005
1096,323,951
1124,337,953
1044,294,872
1047,311,898
1027,278,848
1027,289,847
1040,275,809
1053,295,828
1087,305,809
1074,324,857
1095,324,852
1086,328,865
1066,304,802
1062,286,773
1049,263,743
1004,250,723
950,241,712
881,245,694
916,233,682
898,222,684
904,224,697
817,220,693
778,217,700
781,210,702
758,205,705
754,215,693
721,214,692
706,204,699
721,213,693
713,207,680
690,205,686
680,210,692
670,226,694
702,232,683
704,235,688
694,228,650
676,232,638
658,219,650
655,218,646
658,218,641
603,214,654
588,216,643
565,216,642
568,217,649
568,214,654
592,239,662
582,239,671
610,256,679
602,269,689
679,285,724
707,299,747
752,328,769
753,327,781
860,339,779
857,331,783
896,371,788
906,358,800
984,363,818
968,375,830
1068,356,869
1137,380,879
1168,368,871
1144,385,903
1111,373,898
1176,353,929
1202,348,928
1248,339,957
1248,365,965
1365,372,1026
1330,352,1106
1342,399,1137
1259,359,1072
1224,348,1063
1139,326,1003
1126,320,997
1056,301,943
1049,290,929
1070,274,876
1073,279,872
1112,283,868
1202,290,858
1199,302,858
1219,320,901
1192,301,874
1158,287,814
1189,282,778
1189,261,757
1104,250,734
1047,234,716
977,224,710
960,213,683
991,213,690
910,204,692
876,207,702
823,192,680
801,196,690
801,198,688
795,203,684
747,199,682
748,200,691
739,199,668
741,198,677
730,196,666
707,204,672
676,205,664
702,217,675
698,214,654
695,215,633
663,212,631
670,209,641
657,206,627
640,207,631
615,206,622
581,206,621
583,212,632
566,206,638
579,219,640
580,221,646
600,239,665
583,248,668
642,263,710
648,272,724
734,302,755
725,309,791
798,322,782
837,313,768
917,322,776
887,331,794
914,331,798
940,336,814
1024,337,823
1030,343,848
1113,368,843
1143,357,859
1161,349,878
1113,357,881
1198,339,878
1245,338,935
1278,327,937
1340,339,968
1398,347,1033
1434,371,1081
1341,356,1062
1309,339,1040
1226,320,983
1187,309,923
1150,305,916
1091,280,881
1083,282,885
1042,268,833
1050,277,839
1080,269,816
1134,288,845
1153,311,828
1174,321,837
1156,306,840
1157,297,790
1149,283,760
1122,258,753
1057,238,709
1018,230,712
949,211,691
942,214,689
913,210,686
922,207,694
885,200,685
831,203,684
855,194,689
851,198,699
866,200,687
822,202,706
817,202,710
805,218,717
843,214,707
811,212,708
804,227,706
791,232,710
830,231,690
801,239,691
818,235,665
777,240,668
806,235,669
775,252,672
818,258,668
755,251,671
761,246,685
724,255,689
787,265,704
732,265,709
791,285,712
778,300,742
835,338,761
918,356,806
1066,397,834
1128,435,873
1258,454,890
1526,465,910
1601,498,920
1542,472,947
1509,488,949
1537,414,960
1563,419,964
1597,403,952
1709,384,984
1767,372,1014
1802,367,1019
1834,346,1044
1789,337,1043
1917,327,1067
1857,353,1098
1933,387,1207
2035,379,1274
2090,410,1253
2102,408,1251
2101,396,1222
2105,410,1192
2187,405,1203
2227,429,1227
2340,444,1258
2455,471,1349
2762,537,1467
2824,576,1519
3297,680,1688
3101,744,2088
3101,825,2354
2840,827,2369
2838,950,2124
3193,908,2082
3287,954,1989
3421,931,1927
3038,1086,1809
3043,1056,1770
2594,861,1701
2835,824,1684
2313,761,1691
2300,753,1612
2362,748,1551
2312,714,1478
1925,702,1446
2007,675,1378
1669,649,1428
1655,601,1327
1544,540,1255
1613,521,1176
1535,498,1168
1450,522,1101
1278,472,1057
1196,483,1041
1179,426,926
1131,388,895
1053,381,841
1004,327,815
975,304,793
894,301,766
789,300,765
724,290,752
722,279,741
716,262,728
700,272,737
669,254,717
659,254,702
659,261,710
676,269,722
700,273,736
709,284,768
769,294,775
810,304,782
850,297,790
892,302,787
916,308,787
916,325,801
958,324,804
991,336,800
1071,347,838
1100,356,844
1216,361,843
1205,374,883
1215,348,869
1263,351,890
1242,335,891
1323,350,913
1345,317,905
1349,330,945
1363,301,986
1422,334,1055
1345,300,1013
1366,321,1030
1193,280,936
1195,280,932
1114,242,850
1101,259,863
1045,233,808
1059,240,836
1067,224,780
1114,246,801
1146,235,801
1196,266,845
1243,262,821
1221,286,843
1178,264,797
1157,251,769
1172,235,757
1123,226,735
1054,215,709
1015,209,702
1003,205,685
991,203,685
961,201,678
902,196,676
875,190,681
823,189,690
835,192,686
807,197,709
814,198,712
764,205,699
784,197,692
787,201,691
801,208,696
772,211,690
766,226,693
756,234,706
798,234,682
751,237,682
758,241,671
714,239,654
698,240,668
693,233,678
680,229,661
669,224,648
642,221,655
657,236,656
640,231,665
654,235,675
607,252,684
646,259,695
652,270,716
709,285,728
748,299,769
797,336,789
822,340,797
908,350,800
933,350,806
988,357,808
962,363,809
1126,376,824
1076,368,839
1231,383,850
1224,392,872
1279,377,859
1239,376,879
1187,350,886
1229,367,912
1280,328,925
1297,326,941
1315,331,932
1418,365,1035
1361,324,1049
1365,363,1096
1227,327,1015
1186,322,988
1132,297,915
1116,298,898
1045,273,839
1050,279,845
1049,255,819
1114,271,842
1162,264,827
1230,283,855
1240,280,849
1287,310,889
1297,309,878
1238,292,848
1214,269,802
1178,261,777
1124,242,746
1056,233,739
1002,219,744
971,212,729
994,211,721
971,205,711
916,202,723
865,203,712
885,196,719
907,197,714
937,202,740
867,194,729
845,204,741
804,202,729
855,206,729
818,205,711
817,214,722
795,216,724
835,226,735
842,224,694
855,229,702
814,223,676
795,234,667
757,221,677
750,215,679
723,220,654
673,214,647
654,217,648
645,221,647
659,227,653
622,225,660
659,246,655
633,252,670
680,272,694
667,283,715
744,300,745
764,311,774
818,332,772
836,329,768
948,343,780
962,342,778
977,348,782
989,350,793
1169,365,807
1114,368,818
1255,398,819
1189,405,834
1184,403,829
1187,408,866
1210,380,891
1264,384,905
1375,358,908
1365,383,965
1352,377,948
1469,369,1055
1440,352,1019
1398,379,1052
1304,339,985
1270,325,949
1209,303,909
1154,298,878
1124,289,858
1135,278,845
1172,283,833
1181,281,827
1274,299,838
1341,299,840
1320,325,863
1284,333,879
1246,321,816
1206,290,779
1199,265,774
1127,256,741
1081,236,742
994,231,709
957,232,712
981,233,689
978,231,703
889,228,694
838,218,701
874,221,685
837,231,696
858,236,704
827,231,702
764,238,702
757,234,712
755,227,684
743,228,699
711,231,700
698,232,697
709,233,670
699,244,660
692,233,645
659,243,638
670,234,664
667,233,647
665,230,633
629,228,634
624,232,642
599,232,634
603,235,644
592,239,649
621,251,647
581,255,665
616,272,671
624,280,686
680,300,719
690,317,746
773,346,777
772,329,772
855,343,757
895,342,762
895,349,766
898,344,763
944,351,776
965,355,788
1063,351,812
1096,387,815
1166,367,837
1120,360,852
1141,377,849
1227,376,852
1249,368,889
1338,370,906
1365,381,907
1460,380,989
1454,365,1026
1420,361,1007
1350,354,986
1249,326,946
1221,317,907
1178,301,887
1158,303,889
1101,291,865
1133,303,874
1135,290,830
1180,309,848
1270,321,831
1309,370,858
1339,350,858
1396,345,846
1317,321,779
1321,320,756
1242,292,716
1172,285,705
1126,256,690
1068,270,694
1051,249,674
1032,271,696
1007,261,686
997,260,706
918,253,700
978,254,728
998,254,706
996,270,723
997,266,715
1008,282,760
1017,266,716
1009,268,733
1029,286,726
1016,293,733
1008,303,735
1039,317,733
1131,318,712
1124,334,689
1132,339,669
1154,362,698
1179,335,687
1084,327,686
931,340,684
855,324,684
832,322,698
788,316,704
820,345,712
808,357,728
828,388,736
829,402,768
1002,448,789
1088,464,845
1199,529,865
1310,476,861
1448,548,868
1451,545,872
1585,595,890
1528,600,908
1661,710,931
1570,688,955
1633,704,967
1765,727,974
1721,663,971
1815,661,1001
1754,629,1019
1785,628,1046
1870,655,1072
1895,651,1103
