Tansometr 1,Tensometr 2,Tensometr 3
727,212,672
740,215,682
736,220,668
721,223,648
697,221,652
718,225,647
713,217,651
702,224,651
718,223,653
718,219,656
723,213,641
701,215,646
696,214,644
666,208,640
684,215,639
652,215,647
660,220,658
633,223,648
638,231,664
622,223,679
642,230,686
620,234,684
639,249,690
631,242,693
668,261,694
656,257,696
688,262,716
684,266,733
741,283,736
743,282,750
790,304,778
801,300,790
841,323,802
805,307,811
857,318,807
887,316,785
935,321,775
943,315,790
1011,327,773
1006,313,783
995,322,779
984,321,779
1044,319,760
1039,311,779
1104,321,774
1119,322,762
1095,319,774
1096,318,769
1168,315,762
1130,326,784
1112,321,779
1104,320,772
1162,314,784
1153,308,784
1178,320,772
1195,309,774
1128,297,798
1130,288,786
1150,293,791
1133,285,801
1172,291,791
1233,277,795
1178,271,815
1148,278,806
1164,281,839
1111,274,813
1180,287,840
1155,271,860
1165,285,885
1160,275,874
1159,277,879
1119,279,855
1115,271,874
1057,260,849
1069,257,847
1005,243,818
1021,242,803
979,228,784
975,233,773
943,220,761
946,216,748
914,210,716
919,209,724
900,205,702
911,204,710
901,195,686
928,202,689
935,194,685
939,201,691
970,196,684
971,201,695
1003,201,681
1011,208,685
1029,210,689
1050,219,698
1062,223,697
1060,231,710
1112,237,702
1096,233,714
1109,233,703
1092,232,679
1048,226,667
1013,227,665
1007,221,653
954,212,661
951,212,645
933,204,637
931,197,636
930,199,627
913,193,639
891,196,633
899,198,631
894,193,641
911,189,642
888,187,641
880,189,662
863,184,648
814,180,662
799,181,664
809,181,658
791,182,654
812,181,664
816,177,664
814,182,660
790,189,671
806,193,678
772,196,664
738,193,683
703,191,679
716,199,674
685,200,677
698,195,698
717,194,686
712,194,685
699,194,682
703,196,678
691,200,672
685,203,680
666,202,681
679,212,688
698,209,671
686,203,684
698,214,678
697,214,674
704,218,649
696,223,667
680,223,641
674,225,641
686,215,647
691,213,648
713,219,636
694,216,636
704,213,641
693,216,638
667,220,649
650,221,648
650,226,658
641,225,650
643,228,656
630,216,667
640,224,667
623,224,667
650,229,686
650,235,669
655,242,673
650,253,678
690,256,689
682,262,677
707,272,692
712,275,716
729,287,716
749,298,733
781,305,754
803,305,763
805,331,776
824,313,780
835,321,773
871,331,764
881,330,775
919,330,776
949,330,756
997,334,762
963,331,768
997,333,749
993,338,774
1048,335,771
1054,336,760
1051,329,772
1043,333,778
1094,331,776
1052,332,786
1127,330,788
1138,332,783
1147,334,793
1140,333,794
1203,322,800
1169,322,801
1162,312,808
1203,320,830
1170,308,801
1174,301,814
1193,295,803
1180,295,820
1227,295,808
1243,289,828
1296,287,835
1268,295,851
1268,289,859
1280,305,866
1244,290,887
1313,302,890
1271,289,919
1279,293,949
1326,284,924
1269,287,929
1272,292,904
1206,286,921
1191,276,880
1121,269,890
1104,257,858
1066,249,859
1044,242,832
1033,234,810
1006,224,805
992,223,790
996,215,783
972,215,767
985,210,755
988,213,775
1031,211,765
1028,206,760
1039,212,759
1053,210,762
1099,213,763
1157,216,754
1203,223,770
1262,226,765
1332,241,781
1388,249,796
1403,254,825
1418,278,863
1402,287,893
1418,297,907
1431,294,911
1434,301,920
1539,296,886
1543,298,885
1552,291,885
1596,315,886
1701,288,901
1643,307,897
1685,304,896
1699,323,934
1767,309,897
1684,325,930
1662,312,937
1651,313,987
1639,308,970
1703,338,1014
1631,321,991
1642,331,1027
1598,310,1027
1651,321,1053
1577,294,1033
1632,309,1066
1624,278,1040
1666,290,1070
1543,283,1017
1520,294,1052
1443,283,1061
1424,283,1096
1410,282,1075
1388,286,1117
1399,286,1111
1449,302,1101
1483,294,1109
1527,293,1144
1538,272,1140
1544,287,1177
1512,302,1216
1520,312,1252
1501,310,1254
1482,339,1259
1497,329,1251
1485,335,1269
1490,355,1287
1494,344,1268
1511,343,1251
1572,350,1235
1571,367,1181
1586,345,1209
1579,378,1169
1570,368,1131
1567,367,1098
1541,368,1098
1577,364,1092
1517,358,1065
1529,329,1066
1507,341,1058
1547,348,1045
1527,341,1050
1450,316,1040
1447,332,1037
1435,333,1021
1418,331,1025
1400,337,1017
1299,334,1013
1305,328,1025
1281,332,1014
1278,344,1033
1249,347,1034
1310,359,1036
1287,355,1044
1377,362,1066
1418,369,1073
1488,382,1109
1490,394,1090
1576,395,1122
1594,384,1138
1744,405,1124
1699,385,1102
1864,391,1101
1939,400,1105
2053,424,1077
1881,414,1082
1793,441,1098
1752,462,1058
1786,454,1081
1911,448,1091
1955,457,1075
2006,427,1070
1962,411,1088
1903,430,1051
1964,408,1026
1967,436,1032
2033,424,985
1932,418,981
1998,409,976
2118,410,957
1978,397,957
1969,401,953
1906,369,941
1833,383,972
1797,376,931
1768,364,935
1762,371,894
1729,354,888
1733,349,881
1737,340,878
1626,346,858
1519,345,876
1439,343,877
1402,335,884
1415,332,894
1470,318,914
1412,331,965
1396,329,933
1404,318,934
1394,309,908
1330,312,920
1266,298,911
1256,292,916
1201,281,886
1181,275,896
1136,265,854
1146,263,854
1104,256,823
1111,255,814
1088,239,808
1085,243,800
1059,232,786
1053,236,785
1031,222,779
1043,222,781
1006,212,763
1009,218,770
981,208,762
1002,211,761
1009,203,756
1017,212,759
1031,201,748
1054,213,756
1076,203,746
1092,207,756
1203,202,738
1191,204,755
1236,202,741
1218,210,751
1243,208,734
1230,215,750
1237,210,734
1222,211,731
1192,200,696
1175,200,682
1126,190,678
1108,191,681
1054,187,673
1059,188,662
1014,181,653
987,182,649
995,180,633
1001,177,645
1027,177,633
988,174,638
938,178,622
900,172,619
880,170,612
893,170,611
894,164,609
889,168,609
859,170,610
844,166,608
831,167,628
812,167,642
826,169,636
803,172,637
809,169,635
820,168,632
797,165,644
780,169,643
785,171,661
761,170,658
779,173,658
754,170,655
734,170,655
745,175,664
737,178,673
728,184,672
744,177,673
728,174,680
726,176,678
719,178,674
726,178,680
731,176,663
707,182,672
707,176,667
712,184,665
726,192,653
753,187,658
735,195,649
735,193,659
737,197,651
727,197,634
724,199,622
718,204,634
724,203,638
731,200,638
750,204,631
739,203,640
753,200,631
725,199,626
709,202,636
677,204,635
690,203,626
672,204,629
660,212,634
644,205,633
659,214,642
647,217,649
651,220,661
653,221,654
673,231,664
671,233,675
698,239,678
692,246,677
730,257,693
732,255,702
747,273,719
775,270,731
795,287,735
826,295,758
859,301,778
867,295,784
883,302,774
898,299,774
931,304,766
960,301,765
986,304,771
1033,300,776
985,307,762
983,305,758
986,314,770
990,309,763
1009,307,763
1034,309,774
1019,309,770
1076,303,763
1048,304,785
1079,302,783
1118,302,762
1134,305,776
1117,309,760
1162,303,764
1151,302,804
1168,298,780
1142,311,798
1142,296,795
1194,289,809
1133,277,809
1200,283,800
1216,277,805
1211,275,795
1269,267,799
1217,260,833
1188,258,805
1205,281,848
1156,275,824
1161,278,866
1179,275,850
1214,273,892
1189,261,926
1211,264,899
1184,255,901
1153,273,900
1131,263,897
1107,263,886
1081,246,861
1053,248,861
1015,239,835
1020,224,823
1004,218,812
1003,222,805
979,211,796
966,213,785
963,199,772
937,205,763
929,196,755
934,195,748
943,191,737
948,194,737
959,196,721
960,196,726
963,197,718
995,201,719
1016,205,720
1096,210,726
1110,212,734
1094,222,736
1120,225,753
1119,231,757
1163,230,757
1124,225,772
1138,225,757
1116,221,748
1076,224,734
1116,226,707
1074,218,702
1037,219,691
1027,210,680
973,215,681
1009,206,672
957,199,668
986,199,667
947,201,659
927,199,664
887,200,668
908,204,674
902,206,676
907,201,677
897,198,677
902,194,687
863,194,676
849,196,684
804,195,691
823,196,690
830,192,682
824,186,699
807,191,689
819,190,700
807,189,694
801,194,688
778,198,685
754,198,698
769,198,685
774,202,689
748,201,694
764,199,679
758,196,677
727,193,689
753,195,675
722,198,682
732,201,682
719,197,684
715,202,680
722,208,687
748,209,672
755,211,664
737,213,668
740,210,663
732,211,635
729,218,628
728,222,638
722,215,649
739,214,645
749,217,632
760,210,633
753,206,637
755,207,628
710,210,635
689,215,639
681,213,639
677,217,636
656,223,642
644,222,647
654,228,644
635,230,655
641,239,664
650,240,664
659,248,668
666,255,679
688,260,676
687,265,680
718,278,697
719,279,704
754,284,714
767,293,731
830,314,750
842,311,758
860,332,778
870,319,787
900,328,780
914,320,769
958,324,762
952,315,778
1037,317,753
1001,319,766
1000,315,764
985,316,747
996,324,745
998,335,768
1042,324,748
1047,324,771
1062,310,758
1083,312,758
1073,312,768
1121,315,781
1143,312,757
1113,321,782
1123,316,751
1139,303,780
1179,291,775
1183,293,783
1192,290,799
1215,290,776
1171,283,796
1185,279,777
1193,281,799
1247,274,783
1260,274,796
1238,271,792
1344,269,795
1260,262,822
1247,278,818
1237,288,830
1234,274,825
1223,276,848
1270,282,865
1284,281,871
1267,279,910
1303,280,877
1260,274,886
1219,285,887
1219,274,889
1143,263,870
1150,263,858
1086,251,851
1095,249,832
1057,232,823
1047,235,801
1029,224,796
1035,229,785
1018,213,764
1003,209,769
998,203,750
988,206,757
998,197,732
999,202,747
1009,196,725
1031,197,740
1054,193,718
1063,198,732
1072,194,715
1092,197,740
1129,194,720
1162,205,727
1183,203,723
1188,213,735
1275,209,738
1280,211,741
1279,213,733
1276,211,743
1243,209,721
1254,208,714
1193,206,701
1216,205,698
1174,198,686
1135,192,689
1125,193,665
1117,189,663
1097,190,668
1093,185,653
1038,180,653
997,178,665
986,178,652
1002,179,657
1002,176,654
1000,177,652
978,178,657
985,174,663
972,173,659
960,178,663
905,171,669
898,177,661
900,176,667
891,171,676
879,177,670
880,181,685
871,188,682
855,182,670
828,181,676
810,188,691
822,189,680
797,188,679
827,191,690
814,193,669
809,191,678
787,194,692
796,191,680
786,196,671
771,196,681
771,196,692
793,206,681
814,207,670
823,213,690
811,218,674
800,218,656
809,220,647
802,218,653
809,224,649
807,222,656
783,222,643
772,222,655
759,216,657
766,219,650
759,227,645
719,225,650
693,229,656
669,230,641
674,239,645
647,226,662
665,230,655
626,228,660
648,237,671
629,237,669
661,247,664
645,253,674
682,259,685
695,262,677
711,278,682
698,274,698
738,287,717
754,294,717
808,309,735
817,318,759
879,326,773
852,345,782
926,342,775
898,324,784
958,339,763
977,337,763
1026,343,778
1027,334,772
1055,339,768
1012,334,759
996,344,779
1024,342,773
1041,349,776
1054,344,789
1083,346,771
1101,346,785
1100,342,798
1119,347,797
1112,358,795
1118,348,804
1137,358,787
1129,364,809
1119,347,798
1151,343,801
1111,353,822
1123,337,813
1137,342,817
1108,325,832
1145,351,812
1167,323,825
1207,335,819
1233,325,806
1203,333,843
1179,335,830
1217,341,861
1162,321,855
1247,335,883
1190,305,927
1187,317,969
1174,304,919
1140,304,929
1119,317,915
1099,304,904
1060,283,892
1082,282,890
1010,261,866
995,264,850
980,240,812
949,243,816
939,229,780
941,227,793
900,217,760
908,216,773
891,211,742
901,210,763
900,203,732
910,210,728
922,204,717
923,212,718
945,204,711
953,209,706
975,216,701
973,219,718
997,228,706
1006,229,709
998,244,708
1026,243,720
1016,239,727
1030,250,727
1009,243,716
984,238,716
982,239,695
982,232,680
959,228,678
929,235,677
925,239,669
897,233,664
886,226,658
870,220,652
863,217,662
848,207,644
823,203,646
810,203,652
838,202,641
826,199,642
824,201,642
802,198,639
820,189,654
774,186,655
779,181,651
737,185,655
748,183,651
764,187,645
752,184,660
747,182,660
758,185,661
740,185,660
741,185,649
716,185,648
713,194,669
714,193,656
711,196,660
712,192,664
719,197,646
719,200,648
759,205,667
762,198,646
731,203,653
710,205,656
714,201,681
755,212,660
756,217,654
779,224,650
787,228,653
787,228,632
769,237,630
759,229,627
737,233,617
718,229,615
725,227,624
751,227,623
754,228,622
775,235,625
756,225,630
741,226,628
697,228,625
693,230,632
670,228,637
656,237,632
637,236,634
649,234,647
637,233,648
643,241,653
643,252,656
658,254,650
667,253,656
692,268,668
711,265,678
715,274,678
727,281,688
743,285,708
780,295,710
794,302,718
836,314,737
857,324,758
888,344,767
911,330,758
916,330,769
934,339,749
965,336,745
983,347,758
1058,347,758
1038,345,754
1021,350,754
1015,342,762
1024,346,749
1013,350,768
1088,343,752
1081,347,766
1100,356,767
1121,350,762
1113,345,772
1183,353,784
1215,361,758
1214,361,789
1235,356,772
1270,372,784
1275,347,787
1329,366,781
1366,386,794
1329,371,817
1366,362,801
1324,373,819
1300,360,827
1343,358,818
1397,345,840
1422,353,868
1383,350,852
1347,357,886
1347,339,872
1317,352,898
1366,358,905
1383,366,953
1361,352,989
1416,376,979
1323,357,994
1336,380,991
1343,361,968
1307,361,964
1296,345,935
1243,335,931
1216,328,905
1206,328,877
1183,328,882
1181,321,864
1211,325,867
1182,308,856
1185,304,861
1184,318,852
1244,314,857
1210,305,852
1330,313,844
1314,303,836
1394,319,839
1420,308,825
1544,342,832
1648,346,818
1734,373,826
1891,406,837
2106,448,862
2039,438,855
2259,467,895
2156,444,890
2259,454,898
2190,421,864
2281,434,831
2178,414,799
2231,430,810
2170,400,843
2143,423,805
1970,399,770
2046,395,793
1946,392,776
2085,391,776
1951,393,796
2040,371,813
1977,386,798
2003,401,801
2040,398,800
2089,390,810
1986,361,803
1965,362,827
1923,364,806
1921,361,802
1981,371,805
1959,385,800
1817,377,783
1973,400,803
1959,393,800
1830,401,808
1834,390,809
1851,405,820
1809,396,804
1758,412,821
1687,411,821
1767,405,815
1695,402,799
1691,409,810
1674,403,804
1616,416,833
1654,417,809
1625,436,807
1646,434,797
1572,438,812
1593,433,788
1545,452,788
1529,475,786
1525,483,762
1525,468,755
1573,465,742
1459,471,732
1500,483,740
1459,465,731
1353,431,723
1325,403,728
1295,399,713
1239,410,706
1164,406,714
1074,364,701
1028,373,699
961,343,700
930,360,694
889,351,703
893,343,710
837,331,706
822,339,707
789,333,712
824,340,696
781,336,703
811,346,709
797,333,708
818,351,712
806,368,718
843,374,731
839,368,731
886,395,750
894,397,768
935,401,771
911,400,788
968,415,807
932,404,778
986,412,787
978,407,786
1031,413,767
1001,405,782
1072,405,767
1047,406,783
1078,399,783
1028,402,779
1051,404,792
1047,398,785
1103,397,787
1111,392,792
1178,394,781
1132,402,795
1203,394,791
1193,384,798
1190,377,801
1211,380,790
1217,373,814
1216,371,803
1182,373,815
1177,376,814
1139,366,817
1147,378,819
1176,374,824
1125,359,829
1166,372,815
1134,363,826
1187,357,816
1189,354,840
1209,351,832
1205,328,837
1175,338,868
1187,332,849
1147,334,884
1200,324,857
1185,321,887
1206,320,875
1217,313,926
1201,308,915
1221,300,963
1269,300,920
1246,298,933
1171,310,932
1180,303,946
1147,289,906
1107,286,915
1093,277,880
1049,271,879
1050,262,841
1023,264,842
1002,246,811
999,250,818
983,238,791
993,241,797
962,230,761
954,229,773
951,224,754
931,225,766
940,222,740
940,220,748
962,218,730
976,219,744
987,218,721
1015,219,736
1056,217,717
1083,223,733
1084,223,727
1120,234,735
1109,233,721
1111,234,735
1153,244,735
1131,248,755
1159,258,735
1176,250,729
1183,243,722
1099,237,715
1108,236,690
1089,222,693
1084,221,692
1048,215,682
1032,213,670
1003,206,663
995,204,673
984,198,659
958,205,657
914,194,664
910,201,665
885,200,663
879,194,672
873,199,668
862,201,682
854,188,668
830,187,678
830,189,687
823,190,677
797,194,675
794,197,692
810,199,678
794,194,684
782,198,694
785,200,684
767,206,689
765,210,706
712,213,703
713,220,696
722,210,694
747,216,709
738,218,679
732,219,697
722,217,692
735,213,682
730,223,666
733,220,683
714,217,686
730,225,672
721,224,670
742,204,685
732,220,651
737,225,652
732,222,636
716,225,631
695,223,621
685,233,631
686,204,636
681,216,638
694,218,633
681,215,624
686,212,618
676,212,624
655,214,621
634,212,625
625,220,630
611,210,633
629,222,627
619,219,631
609,227,646
603,222,650
597,228,654
600,237,660
613,240,655
622,243,661
631,258,667
637,260,671
645,271,676
661,276,695
673,277,702
698,294,711
713,298,727
752,315,745
768,320,756
791,336,773
799,326,783
837,335,761
848,328,763
879,333,759
891,335,745
924,343,745
937,345,746
948,344,743
946,345,766
965,335,747
987,338,742
990,340,758
1029,331,748
1044,330,744
1017,322,769
1093,318,745
1079,318,763
1147,325,774
1128,329,761
1158,335,771
1126,334,770
1163,324,766
1119,321,798
1153,322,766
1157,313,780
1117,293,783
1161,303,784
1144,293,799
1135,295,780
1142,292,786
1165,297,777
1231,285,776
1169,290,809
1172,296,791
1175,295,813
1144,289,796
1134,293,809
1164,294,815
1186,291,866
1178,284,854
1188,282,869
1154,271,861
1109,286,853
1098,270,864
1064,269,853
1024,260,827
991,256,815
989,245,800
966,239,782
966,233,765
931,230,758
925,226,738
910,221,732
910,221,714
896,213,718
919,218,706
900,208,707
907,210,706
901,209,699
927,212,713
947,213,702
965,220,721
966,215,704
981,219,709
1019,213,696
1039,228,720
1016,223,705
1032,232,728
1042,240,709
1066,244,713
1042,245,711
1029,245,703
991,246,685
988,238,687
987,233,665
978,236,656
939,223,657
917,216,649
913,208,632
889,204,639
876,199,624
861,206,625
833,197,625
812,201,619
808,199,621
805,197,629
811,198,627
821,204,637
803,195,636
791,198,638
784,195,643
754,190,651
762,197,643
770,198,652
755,190,655
746,202,667
748,198,658
741,204,659
717,201,661
688,205,656
688,212,658
681,213,665
685,220,672
690,211,657
694,212,664
677,217,669
683,213,653
680,215,662
665,219,673
660,219,684
654,224,675
681,230,674
682,231,673
684,231,657
683,238,657
683,234,652
675,237,626
657,238,637
665,227,638
672,225,640
675,230,636
668,235,636
671,231,632
687,239,634
671,237,629
660,233,634
634,232,625
630,235,631
616,232,639
613,233,630
611,238,637
598,237,647
594,238,658
606,244,654
590,251,661
613,255,667
604,258,667
628,272,670
631,269,682
651,277,676
645,283,692
669,291,711
671,294,715
729,307,732
739,316,748
794,324,756
779,332,774
821,326,787
820,321,764
867,335,761
