Tansometr 1,Tensometr 2,Tensometr 3
1104,217,694
1076,207,702
1069,213,685
1015,202,691
1013,207,674
1001,202,671
994,197,668
983,198,661
980,198,661
953,195,653
944,192,653
941,190,655
941,184,653
986,189,659
974,186,652
978,187,655
955,180,658
909,182,664
895,181,663
893,186,672
879,184,661
886,184,666
893,183,673
798,200,712
798,200,712
885,191,683
892,193,685
882,193,678
871,181,696
874,184,686
836,186,694
853,192,708
823,194,691
811,195,703
828,200,700
834,201,695
822,192,709
819,196,704
808,197,688
781,197,712
781,202,701
782,200,709
807,204,691
801,205,678
803,207,674
799,204,679
810,201,656
804,195,651
784,201,641
794,207,635
781,197,712
781,202,701
782,200,709
807,204,691
801,205,678
803,207,674
799,204,679
810,201,656
804,195,651
784,201,641
794,207,635
834,201,695
822,192,709
819,196,658
782,204,652
790,201,647
802,207,643
804,212,640
782,210,642
778,209,645
740,214,636
717,213,644
684,208,653
705,213,658
661,216,654
664,222,664
665,218,670
676,228,661
642,231,666
669,233,674
664,240,675
674,256,681
690,247,690
718,264,688
715,273,697
733,279,717
749,284,723
808,293,732
794,304,751
836,311,775
826,325,776
882,323,777
860,314,789
948,333,777
934,323,768
980,334,776
1014,329,771
1021,334,762
997,325,767
1006,329,773
1025,324,779
1093,328,761
1057,326,774
1062,333,775
1076,324,794
1117,320,793
1160,329,800
1187,325,804
1177,333,795
1183,333,807
1179,316,814
1226,323,808
1205,323,825
1157,313,822
1155,310,809
1165,312,811
1183,308,822
1255,312,818
1247,306,838
1275,312,860
1248,310,834
1234,315,878
1258,310,849
1235,308,871
1244,299,905
1264,306,928
1243,292,930
1262,304,915
1245,297,913
1217,306,934
1157,289,889
1154,293,891
1072,274,865
1118,284,855
1064,260,835
1065,264,825
1035,248,800
1058,250,810
1006,239,784
1019,248,781
990,234,760
998,246,762
996,232,744
1009,242,739
1026,226,723
1027,238,725
1056,233,712
1074,240,722
1119,240,717
1135,250,731
1177,245,735
1215,252,738
1187,259,743
1219,261,749
1215,251,750
1209,264,749
1207,268,741
1193,266,719
1186,255,717
1183,256,690
1190,259,694
1157,253,699
1141,258,682
1089,263,681
1120,253,682
1089,240,671
1064,245,680
1011,234,673
1017,235,669
991,239,674
1022,243,688
1027,248,669
1022,246,683
983,239,681
957,244,685
931,231,678
891,233,696
894,227,692
891,239,684
900,227,690
864,232,702
862,230,685
872,232,695
811,229,708
795,229,695
778,234,693
766,229,704
731,232,692
723,233,705
709,227,700
705,234,695
713,230,693
705,225,698
698,231,680
695,229,691
699,228,696
692,233,684
718,238,681
700,234,685
717,240,661
709,237,658
714,234,641
699,229,648
697,236,624
681,241,627
694,244,633
678,236,632
718,235,627
687,235,630
690,243,632
671,239,640
657,235,630
638,236,637
632,238,643
639,241,637
630,247,634
622,240,641
635,240,652
619,243,648
617,255,651
615,257,661
626,261,657
630,267,661
651,264,675
672,269,675
683,277,683
688,290,695
725,290,697
735,305,714
737,314,734
763,306,753
768,322,754
807,318,752
808,316,763
832,319,758
865,312,746
875,311,752
894,307,747
882,309,750
874,315,742
859,321,744
911,320,754
964,314,745
934,322,752
975,321,745
1003,317,746
1007,310,751
1022,320,773
1061,324,770
1090,332,756
1062,320,770
1109,325,789
1111,316,768
1091,327,788
1102,316,793
1115,320,781
1091,301,797
1119,308,785
1156,301,792
1188,310,822
1227,297,814
1182,296,835
1173,299,826
1243,308,850
1201,298,863
1310,303,888
1279,303,904
1270,298,954
1306,296,915
1254,296,930
1227,305,924
1220,297,905
1168,281,874
1158,284,874
1135,272,846
1104,274,847
1056,263,812
1058,261,818
1036,253,793
1042,246,779
1006,242,772
1015,240,767
997,233,761
999,236,746
1009,232,735
1002,240,732
1036,237,726
1034,243,724
1034,243,715
1063,239,721
1098,247,714
1105,249,711
1132,264,712
1146,265,720
1163,276,730
1193,283,725
1162,280,734
1178,295,734
1188,298,746
1173,287,728
1180,286,703
1169,280,683
1181,277,677
1140,272,672
1137,258,685
1117,256,667
1123,257,663
1093,247,662
1116,250,673
1076,244,655
1047,251,672
1040,245,662
1076,248,660
1059,253,657
1073,256,670
1023,253,663
1011,248,675
976,239,686
978,245,688
955,247,685
961,257,703
963,255,695
982,260,711
961,262,714
981,261,732
949,261,714
939,275,742
921,283,728
924,288,731
918,299,718
916,302,737
936,307,707
956,305,718
971,299,724
980,306,721
1016,307,722
1039,327,739
1049,317,742
1108,333,744
1128,331,745
1163,346,766
1174,335,740
1204,353,735
1185,343,711
1221,372,734
1211,361,718
1206,372,722
1217,375,723
1233,375,712
1229,367,715
1206,375,720
1218,370,693
1124,372,700
1082,364,713
1021,377,715
1000,372,711
974,364,719
951,373,733
927,354,731
890,361,736
857,359,742
857,373,735
867,367,742
871,380,749
906,385,761
914,400,758
964,419,775
974,426,794
1038,469,792
1048,450,798
1192,512,815
1161,476,840
1298,521,859
1270,516,860
1349,526,872
1245,493,854
1554,513,857
1408,498,873
1539,531,866
1511,517,855
1479,537,861
1490,528,869
1448,530,866
1439,512,874
1604,510,868
1461,512,871
1549,495,865
1475,526,894
1710,494,885
1529,500,884
1711,497,895
1593,491,905
1743,464,904
1610,531,919
1650,463,893
1605,519,937
1728,488,929
1643,478,946
1692,467,941
1713,475,935
1667,449,951
1722,467,932
1709,460,933
1685,487,954
1677,485,943
1629,481,981
1590,479,1017
1713,486,998
1658,485,1061
1695,471,1201
1735,486,1107
1754,498,1111
1671,507,1116
1608,497,1090
1608,481,1083
1577,453,1062
1584,457,1029
1513,436,993
1494,436,987
1443,417,953
1455,410,959
1401,380,923
1415,375,918
1317,363,898
1327,362,903
1299,346,884
1308,347,900
1265,324,867
1325,342,873
1249,331,854
1303,341,862
1314,336,844
1342,365,855
1371,348,848
1434,376,863
1436,354,833
1455,390,859
1566,370,833
1575,394,859
1674,387,841
1644,390,857
1648,383,845
1671,378,843
1583,359,821
1564,352,775
1532,337,754
1543,333,741
1411,321,734
1374,313,741
1369,299,714
1297,294,711
1325,276,699
1292,272,691
1264,271,688
1238,265,682
1170,253,678
1160,252,678
1171,240,677
1155,238,677
1135,242,673
1111,242,681
1104,239,659
1064,231,671
1012,226,684
977,231,683
922,228,699
931,230,687
922,234,687
925,227,689
932,230,686
908,229,700
927,225,685
890,231,688
866,227,690
842,225,678
821,224,694
840,228,673
839,225,678
818,222,684
827,228,665
819,228,660
807,223,659
821,215,648
836,212,647
801,217,670
795,223,663
763,217,662
784,221,667
802,223,655
777,223,657
780,220,648
764,219,637
742,216,622
735,214,626
692,211,610
689,215,619
694,208,622
693,206,620
698,210,614
695,204,612
693,204,608
687,209,615
670,204,615
649,206,613
653,205,617
631,202,625
629,207,618
611,206,631
604,210,629
600,211,640
604,223,650
599,220,644
627,227,644
610,231,654
637,236,654
644,240,662
672,255,671
656,256,673
703,269,677
697,271,699
723,275,711
748,285,723
785,299,737
776,311,757
792,298,764
796,305,755
850,308,744
843,310,753
885,313,761
913,310,744
936,311,759
933,310,757
921,320,741
942,318,740
953,310,759
957,312,742
971,313,748
975,310,758
1032,311,751
1015,310,752
1030,317,769
1110,310,751
1077,318,776
1078,305,763
1134,311,756
1111,308,774
1123,311,758
1137,301,757
1076,296,788
1107,284,771
1111,297,792
1128,285,802
1180,291,788
1251,280,796
1206,283,828
1190,285,800
1226,300,836
1173,289,819
1193,296,849
1211,287,870
1212,297,886
1210,280,904
1271,293,894
1190,282,872
1174,300,897
1142,274,867
1101,270,855
1094,258,832
1054,254,840
1014,242,794
1024,240,786
993,231,767
987,229,758
968,219,748
976,222,740
926,210,733
941,215,730
919,206,724
917,205,730
929,199,722
951,203,713
948,198,714
948,200,705
960,197,699
965,199,689
985,200,693
1029,201,689
1047,209,678
1055,212,688
1061,218,684
1079,226,696
1076,229,692
1114,225,694
1101,233,700
1116,227,694
1134,221,685
1099,216,670
1112,218,662
1040,210,652
1022,212,651
985,204,644
959,203,645
941,196,644
934,200,640
909,200,638
893,195,638
859,188,628
846,191,633
840,189,632
866,191,635
851,188,636
878,190,658
852,181,644
846,183,648
807,181,645
784,182,644
769,183,644
767,185,658
785,183,643
776,179,655
758,188,655
761,182,657
742,186,654
729,184,656
725,190,648
694,190,657
704,189,658
709,194,658
692,198,654
685,195,666
683,197,653
677,199,649
661,201,645
661,201,671
641,202,648
642,215,659
644,212,658
664,215,650
662,216,640
650,218,648
643,209,629
644,214,612
628,216,607
625,213,610
630,206,606
630,219,610
648,211,603
644,213,601
659,217,600
640,216,611
631,214,615
607,214,615
603,223,617
594,223,625
606,225,622
596,228,626
598,222,642
604,219,642
598,227,646
601,238,646
612,241,652
631,248,650
629,258,662
644,266,666
666,269,676
683,282,683
694,292,697
726,293,715
740,298,726
759,310,738
771,328,758
805,308,757
815,316,757
865,329,745
852,325,747
898,316,761
888,313,741
930,318,737
904,315,749
893,318,740
915,332,745
948,318,756
960,330,740
1003,326,746
993,318,769
1044,322,759
991,325,763
1048,318,776
1079,319,757
1082,321,764
1048,313,781
1048,318,764
1035,310,777
1046,309,794
1057,300,779
1072,302,793
1067,291,799
1066,288,776
1109,288,802
1110,289,789
1190,283,792
1118,271,804
1123,282,807
1143,287,815
1115,282,838
1185,287,835
1154,274,874
1159,276,893
1163,282,908
1154,273,901
1138,288,907
1116,276,915
1080,264,880
1046,255,868
1001,253,849
999,240,824
962,237,809
962,232,781
932,221,779
938,221,759
920,213,754
915,210,743
914,204,743
937,208,737
911,201,729
913,204,718
923,195,701
910,202,712
919,196,700
919,201,699
919,194,681
927,199,696
974,197,674
988,205,687
996,204,684
1014,213,698
992,215,694
1043,221,706
1021,223,714
1025,238,721
1045,236,707
1026,236,706
997,229,680
999,224,667
970,220,662
980,211,657
935,209,653
902,206,652
913,203,643
891,197,653
895,196,637
868,200,650
837,194,638
842,193,642
843,189,643
846,200,641
856,193,642
838,201,641
838,207,642
825,196,648
808,192,639
802,191,660
781,188,657
758,200,655
770,197,663
790,189,661
787,190,658
762,187,677
763,190,665
757,194,678
747,197,680
730,203,674
725,209,665
720,204,668
731,207,683
721,208,667
730,206,672
720,202,675
725,204,669
711,207,668
703,211,689
673,208,697
694,213,691
704,220,686
721,210,695
