Tansometr 1,Tensometr 2,Tensometr 3
1160,256,730
1139,253,722
1055,237,708
1063,228,712
1160,256,730
1139,253,722
1055,237,708
1063,228,712
1409,339,1060
1351,359,1061
1226,314,1015
1234,313,1007
1130,281,925
1123,293,961
1048,265,866
1089,274,896
1096,261,836
1167,295,856
1269,285,858
1324,326,879
1311,323,886
1289,317,842
1232,289,787
1203,277,775
1049,226,699
1025,223,705
936,214,704
920,210,714
928,211,716
911,210,721
873,207,728
834,205,734
862,216,733
857,212,740
858,217,715
829,229,716
825,226,707
835,244,699
849,243,695
851,241,686
818,240,661
814,241,657
820,235,656
786,240,664
763,241,666
745,247,682
717,250,690
710,261,694
732,259,710
749,263,715
729,270,721
758,294,733
791,308,764
887,349,784
929,370,824
1157,435,867
1161,394,874
1359,461,887
1433,461,877
1492,447,923
1384,431,925
1509,392,969
1590,387,959
1549,392,1000
1551,372,1020
1672,362,1025
1526,336,1093
1598,317,1093
1596,315,1139
1651,314,1137
1628,306,1179
1651,303,1254
1801,318,1337
1819,331,1285
1803,339,1289
1809,327,1241
1858,343,1268
2014,347,1273
2118,377,1321
2375,413,1375
2571,452,1553
2968,533,1814
3358,624,1900
3341,750,2083
3079,729,2119
2929,831,2119
2919,826,2146
3122,921,2105
3239,878,2079
3086,1028,1797
3119,1060,1811
3147,1233,1726
2987,970,1630
2765,998,1571
2806,900,1531
2594,812,1437
2407,841,1392
2168,788,1398
2030,699,1356
1877,683,1318
1781,653,1280
1670,597,1206
1613,604,1213
1525,586,1196
1372,552,1154
1334,540,1111
1330,545,1047
1270,457,956
1173,428,936
1183,391,868
1135,362,833
1035,318,796
882,307,783
799,300,777
749,290,767
756,291,770
737,296,759
708,273,740
715,265,748
694,255,743
698,273,728
705,273,746
692,290,761
730,293,790
792,318,815
819,307,806
907,304,800
933,301,809
966,297,807
924,314,815
1038,328,817
1052,323,841
1119,320,838
1133,331,858
1204,344,853
1235,351,887
1165,358,865
1269,365,896
1244,335,892
1317,341,929
1381,330,919
1353,359,954
1351,321,998
1442,366,1111
1302,342,1069
1283,344,1074
1178,295,995
1147,310,990
1077,266,911
1078,284,936
1054,254,873
1086,273,879
1088,268,829
1178,298,872
1250,314,874
1256,341,896
1276,305,880
1223,301,839
1203,268,810
1138,267,780
1064,237,747
1011,240,728
959,237,719
975,223,705
949,225,711
902,211,708
875,206,702
879,201,710
865,209,713
876,210,710
831,211,723
800,207,722
804,209,704
821,208,720
835,211,733
757,220,738
789,228,729
799,236,718
787,240,712
757,232,693
753,227,674
745,232,670
732,230,656
710,220,660
676,220,653
660,220,653
622,216,648
633,221,665
613,215,670
640,237,670
615,239,686
639,262,698
639,262,706
711,286,731
718,305,762
793,329,786
794,333,804
892,343,787
894,340,805
949,350,800
902,360,805
1023,364,805
1035,361,823
1123,355,836
1179,376,881
1227,369,862
1180,381,872
1187,361,875
1254,363,896
1287,347,904
1326,358,928
1274,349,917
1402,388,1019
1423,355,1028
1365,383,1061
1275,330,1005
1220,338,992
1117,292,898
1123,307,924
1100,284,866
1076,293,872
1102,273,846
1140,304,860
1201,317,845
1264,342,894
1303,333,928
1285,334,908
1252,307,829
1251,289,815
1192,272,774
1131,247,740
1079,246,732
1028,249,709
1027,232,714
1007,227,712
947,231,716
914,224,709
925,220,724
930,214,718
918,210,718
872,213,727
889,214,736
868,212,717
903,207,735
829,214,739
804,218,753
821,224,730
847,227,745
843,228,706
817,229,675
779,221,675
786,219,680
777,220,669
756,219,666
722,207,656
657,205,651
653,214,646
626,208,652
646,213,665
627,216,665
662,235,671
631,245,688
685,264,700
687,271,713
758,283,747
759,297,772
827,310,776
850,304,791
914,317,781
927,329,781
944,331,788
952,341,795
1050,332,809
1035,345,827
1153,357,826
1122,380,866
1205,380,859
1245,387,906
1231,388,907
1279,387,921
1303,364,937
1262,404,978
1369,382,1005
1396,394,1089
1343,390,1084
1316,387,1066
1196,344,1001
1175,351,969
1120,316,940
1094,316,933
1113,301,887
1119,311,904
1220,315,873
1338,355,904
1431,358,904
1416,399,948
1415,372,945
1276,359,868
1282,330,814
1196,312,787
1149,292,757
1067,265,735
1061,274,747
1030,259,722
1039,253,731
976,247,701
933,244,701
926,230,710
900,242,716
871,237,709
803,240,739
802,234,718
815,233,735
774,233,712
734,239,720
712,231,705
693,235,712
727,247,679
697,240,675
684,227,671
659,236,659
651,231,656
643,230,643
654,220,651
611,220,657
647,221,647
627,219,642
642,223,651
630,219,649
642,237,654
631,242,659
602,250,675
609,271,687
662,283,708
673,303,742
720,319,763
730,321,770
801,323,778
823,329,783
862,340,782
825,352,785
903,344,792
934,354,807
995,368,809
1058,367,841
1068,375,834
1117,370,854
1116,364,869
1144,363,885
1246,353,885
1267,361,927
1251,359,925
1374,367,1018
1400,373,1057
